senarioProf //Nom du plateau
7 // NbLigne
7 // NBColonne
4 // Nb Manche
9 // Nb Departement
4 // Nb Pole differant
0	null	2	5	2	null	5	                       // Plateau avec numero des pole
null	2	4	0	null	4	null	
4	null	5	2	0	null	5	
null	null	null	4	null	2	null	
0	null	null	null	5	4	2	
4	null	null	null	4	null	5	
0	null	5	2	null	0	null	

0,0	0,6	2,3	4,6 // Pole de depart
0	0,0	0,1	1,0	1,1 // Numero de departement et Coordonne des case du departement
10	0,2	0,3	0,4	1,2	1,3	1,4
20	0,5	0,6	1,5	1,6
30	2,0	2,1	3,0	3,1	4,0	4,1
40	2,2	2,3	2,4	3,2	3,3	3,4	4,2	4,3	4,4
50	2,5	2,6	3,5	3,6	4,5	4,6
60	5,0	5,1	6,0	6,1
70	5,2	5,3	5,4	6,2	6,3	6,4
80	5,5	5,6	6,5	6,6

